Category,Layer,Rank,Expert ID,Activation Count
adjacency,28,18,103,4571
adjacency,28,19,65,4343
adjacency,28,20,110,4013
adjacency,29,1,18,10325
adjacency,29,2,62,10162
adjacency,29,3,72,7205
adjacency,29,4,126,6372
adjacency,29,5,36,6153
adjacency,29,6,83,6017
adjacency,29,7,92,5864
adjacency,29,8,81,5661
adjacency,29,9,59,5285
adjacency,29,10,121,4832
adjacency,29,11,122,4792
adjacency,29,12,0,4783
adjacency,29,13,86,4625
adjacency,29,14,78,4565
adjacency,29,15,88,4559
adjacency,29,16,10,4493
adjacency,29,17,53,4413
adjacency,29,18,54,4270
adjacency,29,19,63,4264
adjacency,29,20,123,4263
adjacency,30,1,74,18335
adjacency,30,2,1,13750
adjacency,30,3,27,12417
adjacency,30,4,71,11363
adjacency,30,5,62,10305
adjacency,30,6,59,9480
adjacency,30,7,86,8847
adjacency,30,8,109,8520
adjacency,30,9,118,6261
adjacency,30,10,20,6109
adjacency,30,11,26,6067
adjacency,30,12,8,5949
adjacency,30,13,111,5341
adjacency,30,14,70,5112
adjacency,30,15,119,4920
adjacency,30,16,75,4869
adjacency,30,17,7,4723
adjacency,30,18,19,4432
adjacency,30,19,14,4406
adjacency,30,20,116,4400
adjacency,31,1,30,12985
adjacency,31,2,83,12749
adjacency,31,3,28,12360
adjacency,31,4,17,10794
adjacency,31,5,103,10109
adjacency,31,6,111,8961
adjacency,31,7,109,8757
adjacency,31,8,96,8229
adjacency,31,9,18,6472
adjacency,31,10,9,5990
adjacency,31,11,64,5861
adjacency,31,12,41,5768
adjacency,31,13,106,5767
adjacency,31,14,105,5097
adjacency,31,15,92,4993
adjacency,31,16,82,4597
adjacency,31,17,55,4247
adjacency,31,18,113,4146
adjacency,31,19,117,4121
adjacency,31,20,115,3697
adjacency,32,1,88,13135
adjacency,32,2,46,10889
adjacency,32,3,21,10797
adjacency,32,4,67,9162
adjacency,32,5,111,8853
adjacency,32,6,107,8502
adjacency,32,7,72,8355
adjacency,32,8,23,7832
adjacency,32,9,9,7339
adjacency,32,10,41,6559
adjacency,32,11,15,6280
adjacency,32,12,38,5553
adjacency,32,13,103,5241
adjacency,32,14,20,4903
adjacency,32,15,57,4286
adjacency,32,16,35,4240
adjacency,32,17,7,4083
adjacency,32,18,125,4060
adjacency,32,19,4,4058
adjacency,32,20,43,4006
adjacency,33,1,49,11360
adjacency,33,2,28,10866
adjacency,33,3,104,10308
adjacency,33,4,86,10254
adjacency,33,5,37,8102
adjacency,33,6,5,7920
adjacency,33,7,114,7369
adjacency,33,8,10,7030
adjacency,33,9,30,6947
adjacency,33,10,40,6791
adjacency,33,11,57,5954
adjacency,33,12,27,5764
adjacency,33,13,59,5417
adjacency,33,14,87,4997
adjacency,33,15,54,4618
adjacency,33,16,122,4447
adjacency,33,17,69,4319
adjacency,33,18,68,4039
adjacency,33,19,31,3739
adjacency,33,20,39,3477
adjacency,34,1,65,9313
adjacency,34,2,45,8203
adjacency,34,3,26,8085
adjacency,34,4,33,7836
adjacency,34,5,47,6649
adjacency,34,6,98,5858
adjacency,34,7,124,5406
adjacency,34,8,109,5306
adjacency,34,9,70,5100
adjacency,34,10,101,5096
adjacency,34,11,2,4888
adjacency,34,12,82,4830
adjacency,34,13,116,4694
adjacency,34,14,103,4615
adjacency,34,15,40,4506
adjacency,34,16,72,4210
adjacency,34,17,30,4163
adjacency,34,18,13,4067
adjacency,34,19,41,3920
adjacency,34,20,86,3735
adjacency,35,1,4,10149
adjacency,35,2,39,9400
adjacency,35,3,126,7879
adjacency,35,4,41,7697
adjacency,35,5,21,7082
adjacency,35,6,64,6683
adjacency,35,7,1,5041
adjacency,35,8,78,4930
adjacency,35,9,79,4572
adjacency,35,10,19,4569
adjacency,35,11,5,4279
adjacency,35,12,100,4144
adjacency,35,13,96,4132
adjacency,35,14,88,4036
adjacency,35,15,51,3674
adjacency,35,16,3,3589
adjacency,35,17,50,3511
adjacency,35,18,68,3433
adjacency,35,19,28,3402
adjacency,35,20,92,3397
adjacency,36,1,121,12015
adjacency,36,2,95,10480
adjacency,36,3,119,9321
adjacency,36,4,85,8740
adjacency,36,5,17,6307
adjacency,36,6,103,5362
adjacency,36,7,56,5260
adjacency,36,8,57,4798
adjacency,36,9,60,4732
adjacency,36,10,109,4670
adjacency,36,11,65,4429
adjacency,36,12,126,4384
adjacency,36,13,25,4290
adjacency,36,14,82,4277
adjacency,36,15,90,4270
adjacency,36,16,9,4074
adjacency,36,17,62,4073
adjacency,36,18,110,3994
adjacency,36,19,46,3680
adjacency,36,20,116,3630
adjacency,37,1,104,13431
adjacency,37,2,36,7342
adjacency,37,3,20,7143
adjacency,37,4,105,6748
adjacency,37,5,0,5420
adjacency,37,6,14,5352
adjacency,37,7,70,4921
adjacency,37,8,102,4859
adjacency,37,9,26,4816
adjacency,37,10,66,4643
adjacency,37,11,95,4619
adjacency,37,12,47,4504
adjacency,37,13,42,4492
adjacency,37,14,127,4446
adjacency,37,15,49,4420
adjacency,37,16,25,4123
adjacency,37,17,12,3938
adjacency,37,18,113,3728
adjacency,37,19,48,3708
adjacency,37,20,68,3656
adjacency,38,1,51,11809
adjacency,38,2,53,7628
adjacency,38,3,22,7610
adjacency,38,4,96,6952
adjacency,38,5,125,6414
adjacency,38,6,46,6140
adjacency,38,7,25,5905
adjacency,38,8,88,5748
adjacency,38,9,108,5721
adjacency,38,10,93,5110
adjacency,38,11,64,4955
adjacency,38,12,36,4834
adjacency,38,13,100,4597
adjacency,38,14,97,4528
adjacency,38,15,90,4225
adjacency,38,16,81,4164
adjacency,38,17,112,3970
adjacency,38,18,75,3801
adjacency,38,19,13,3575
adjacency,38,20,85,3513
adjacency,39,1,57,12321
adjacency,39,2,59,8993
adjacency,39,3,116,8439
adjacency,39,4,113,6240
adjacency,39,5,46,6227
adjacency,39,6,27,6184
adjacency,39,7,120,6171
adjacency,39,8,123,6146
adjacency,39,9,53,6137
adjacency,39,10,115,5499
adjacency,39,11,125,5090
adjacency,39,12,18,4861
adjacency,39,13,51,4560
adjacency,39,14,37,4347
adjacency,39,15,11,4309
adjacency,39,16,7,4294
adjacency,39,17,49,4142
adjacency,39,18,10,3852
adjacency,39,19,75,3835
adjacency,39,20,112,3652
adjacency,40,1,126,8943
adjacency,40,2,67,7764
adjacency,40,3,36,6858
adjacency,40,4,115,6686
adjacency,40,5,101,6182
adjacency,40,6,89,6178
adjacency,40,7,103,5674
adjacency,40,8,70,5357
adjacency,40,9,109,5139
adjacency,40,10,40,4967
adjacency,40,11,5,4959
adjacency,40,12,17,4949
adjacency,40,13,13,4866
adjacency,40,14,111,4809
adjacency,40,15,51,4735
adjacency,40,16,23,4374
adjacency,40,17,83,4297
adjacency,40,18,59,4263
adjacency,40,19,6,3906
adjacency,40,20,34,3881
adjacency,41,1,62,7614
adjacency,41,2,71,7192
adjacency,41,3,54,6165
adjacency,41,4,122,6146
adjacency,41,5,18,5802
adjacency,41,6,126,5578
adjacency,41,7,88,5574
adjacency,41,8,23,5007
adjacency,41,9,53,4993
adjacency,41,10,58,4732
adjacency,41,11,61,4713
adjacency,41,12,127,4593
adjacency,41,13,90,4540
adjacency,41,14,92,4495
adjacency,41,15,26,4366
adjacency,41,16,86,4334
adjacency,41,17,59,4260
adjacency,41,18,81,4210
adjacency,41,19,21,3904
adjacency,41,20,66,3749
adjacency,42,1,80,8741
adjacency,42,2,9,7838
adjacency,42,3,8,7468
adjacency,42,4,32,7001
adjacency,42,5,29,6480
adjacency,42,6,36,5969
adjacency,42,7,113,5481
adjacency,42,8,98,5173
adjacency,42,9,86,4593
adjacency,42,10,59,4453
adjacency,42,11,56,4417
adjacency,42,12,20,4411
adjacency,42,13,55,4063
adjacency,42,14,28,4017
adjacency,42,15,39,4009
adjacency,42,16,77,3860
adjacency,42,17,21,3855
adjacency,42,18,64,3841
adjacency,42,19,102,3770
adjacency,42,20,54,3761
adjacency,43,1,78,12933
adjacency,43,2,45,12832
adjacency,43,3,114,9387
adjacency,43,4,59,7453
adjacency,43,5,16,6598
adjacency,43,6,80,6010
adjacency,43,7,72,6007
adjacency,43,8,25,5707
adjacency,43,9,107,5314
adjacency,43,10,65,4975
adjacency,43,11,92,4563
adjacency,43,12,34,4451
adjacency,43,13,9,4205
adjacency,43,14,31,4175
adjacency,43,15,96,4003
adjacency,43,16,121,3831
adjacency,43,17,86,3797
adjacency,43,18,47,3703
adjacency,43,19,2,3527
adjacency,43,20,105,3441
adjacency,44,1,14,13132
adjacency,44,2,84,9946
adjacency,44,3,21,8675
adjacency,44,4,116,7452
adjacency,44,5,121,7397
adjacency,44,6,68,6543
adjacency,44,7,94,5787
adjacency,44,8,47,5504
adjacency,44,9,32,5474
adjacency,44,10,92,5331
adjacency,44,11,76,4609
adjacency,44,12,90,4470
adjacency,44,13,41,4441
adjacency,44,14,59,4126
adjacency,44,15,77,4012
adjacency,44,16,72,3954
adjacency,44,17,31,3940
adjacency,44,18,8,3854
adjacency,44,19,80,3785
adjacency,44,20,13,3748
adjacency,45,1,1,13845
adjacency,45,2,89,10575
adjacency,45,3,45,10465
adjacency,45,4,107,8685
adjacency,45,5,85,8317
adjacency,45,6,66,6411
adjacency,45,7,82,5855
