Category,Layer,Rank,Expert ID,Activation Count
height,41,4,54,5934
height,41,5,126,5792
height,41,6,88,5593
height,41,7,86,5586
height,41,8,71,5085
height,41,9,58,4905
height,41,10,90,4584
height,41,11,66,4502
height,41,12,26,4426
height,41,13,81,4358
height,41,14,127,4350
height,41,15,92,4342
height,41,16,23,4217
height,41,17,61,4159
height,41,18,53,4107
height,41,19,21,4016
height,41,20,49,3859
height,42,1,80,8406
height,42,2,8,7807
height,42,3,9,7578
height,42,4,32,6969
height,42,5,36,6265
height,42,6,113,5675
height,42,7,98,5661
height,42,8,29,5131
height,42,9,86,4973
height,42,10,56,4428
height,42,11,102,4366
height,42,12,20,4157
height,42,13,59,4089
height,42,14,39,4066
height,42,15,77,3947
height,42,16,55,3928
height,42,17,18,3897
height,42,18,106,3650
height,42,19,71,3569
height,42,20,6,3540
height,43,1,78,12678
height,43,2,45,11879
height,43,3,114,8622
height,43,4,59,6656
height,43,5,16,6442
height,43,6,34,6441
height,43,7,80,6036
height,43,8,72,5790
height,43,9,25,5646
height,43,10,92,5185
height,43,11,65,5096
height,43,12,107,4692
height,43,13,31,4594
height,43,14,96,4223
height,43,15,87,4160
height,43,16,121,3905
height,43,17,112,3611
height,43,18,47,3575
height,43,19,86,3523
height,43,20,71,3399
height,44,1,14,13018
height,44,2,84,7993
height,44,3,116,7318
height,44,4,47,6856
height,44,5,21,6797
height,44,6,68,6360
height,44,7,121,6286
height,44,8,92,5913
height,44,9,94,5849
height,44,10,32,5416
height,44,11,90,4724
height,44,12,41,4623
height,44,13,8,4531
height,44,14,72,4522
height,44,15,76,4025
height,44,16,59,4020
height,44,17,77,3853
height,44,18,102,3836
height,44,19,31,3813
height,44,20,20,3494
height,45,1,1,13813
height,45,2,45,10985
height,45,3,107,10073
height,45,4,89,8468
height,45,5,85,7568
height,45,6,66,6055
height,45,7,63,5918
height,45,8,82,5343
height,45,9,124,5078
height,45,10,6,5030
height,45,11,84,4920
height,45,12,123,4783
height,45,13,108,4717
height,45,14,104,4447
height,45,15,103,4219
height,45,16,70,3974
height,45,17,28,3836
height,45,18,76,3695
height,45,19,29,3554
height,45,20,94,3546
height,46,1,102,10366
height,46,2,19,8892
height,46,3,38,6262
height,46,4,119,6028
height,46,5,75,5849
height,46,6,123,4937
height,46,7,67,4636
height,46,8,71,4128
height,46,9,114,4041
height,46,10,118,4040
height,46,11,51,3926
height,46,12,8,3921
height,46,13,34,3836
height,46,14,88,3823
height,46,15,115,3800
height,46,16,52,3768
height,46,17,83,3741
height,46,18,5,3684
height,46,19,29,3661
height,46,20,3,3615
height,47,1,14,7645
height,47,2,26,6817
height,47,3,126,6629
height,47,4,15,5517
height,47,5,73,4908
height,47,6,20,4899
height,47,7,21,4841
height,47,8,22,4820
height,47,9,36,4733
height,47,10,120,4720
height,47,11,103,4475
height,47,12,127,4381
height,47,13,105,4280
height,47,14,57,4213
height,47,15,27,4189
height,47,16,66,4094
height,47,17,54,4047
height,47,18,63,3945
height,47,19,109,3920
height,47,20,121,3854
ordering,0,1,112,8407
ordering,0,2,23,7538
ordering,0,3,77,7073
ordering,0,4,72,6702
ordering,0,5,12,6362
ordering,0,6,100,6161
ordering,0,7,36,6144
ordering,0,8,79,5410
ordering,0,9,29,5054
ordering,0,10,106,4830
ordering,0,11,102,4708
ordering,0,12,28,4371
ordering,0,13,58,4368
ordering,0,14,22,4359
ordering,0,15,125,4330
ordering,0,16,98,4323
ordering,0,17,30,4298
ordering,0,18,78,4283
ordering,0,19,62,4232
ordering,0,20,31,4198
ordering,1,1,88,8064
ordering,1,2,4,7048
ordering,1,3,70,6962
ordering,1,4,119,6375
ordering,1,5,80,6060
ordering,1,6,127,6055
ordering,1,7,59,6020
ordering,1,8,29,5899
ordering,1,9,48,5735
ordering,1,10,45,5702
ordering,1,11,114,5577
ordering,1,12,104,5221
ordering,1,13,94,4854
ordering,1,14,85,4843
ordering,1,15,91,4739
ordering,1,16,87,4601
ordering,1,17,75,4269
ordering,1,18,16,4245
ordering,1,19,8,4156
ordering,1,20,116,4079
ordering,2,1,47,14161
ordering,2,2,40,9703
ordering,2,3,36,9466
ordering,2,4,37,6962
ordering,2,5,125,6410
ordering,2,6,90,6109
ordering,2,7,2,5952
ordering,2,8,76,5921
ordering,2,9,15,5822
ordering,2,10,25,5485
ordering,2,11,127,4920
ordering,2,12,87,4784
ordering,2,13,66,4686
ordering,2,14,53,4632
ordering,2,15,126,4612
ordering,2,16,31,4564
ordering,2,17,30,4511
ordering,2,18,21,4323
ordering,2,19,88,4029
ordering,2,20,44,4004
ordering,3,1,84,22706
ordering,3,2,16,14464
ordering,3,3,43,10192
ordering,3,4,95,7297
ordering,3,5,77,6770
ordering,3,6,103,6222
ordering,3,7,92,5962
ordering,3,8,59,5879
ordering,3,9,27,5524
ordering,3,10,115,5512
ordering,3,11,113,5383
ordering,3,12,82,5245
ordering,3,13,79,5018
ordering,3,14,6,5002
ordering,3,15,88,4867
ordering,3,16,26,4723
ordering,3,17,89,4675
ordering,3,18,10,4436
ordering,3,19,90,4435
ordering,3,20,36,4408
ordering,4,1,104,18836
ordering,4,2,4,11487
ordering,4,3,32,10449
ordering,4,4,15,9528
ordering,4,5,36,9236
ordering,4,6,11,8176
ordering,4,7,101,7426
ordering,4,8,10,7273
ordering,4,9,109,6630
ordering,4,10,52,6555
ordering,4,11,34,6290
ordering,4,12,30,5930
ordering,4,13,73,5824
ordering,4,14,27,5737
ordering,4,15,79,5340
ordering,4,16,13,5270
ordering,4,17,82,5150
ordering,4,18,85,5033
ordering,4,19,111,4922
ordering,4,20,105,4642
ordering,5,1,70,12280
ordering,5,2,12,12231
ordering,5,3,13,11667
ordering,5,4,44,11185
ordering,5,5,76,10902
ordering,5,6,56,10439
ordering,5,7,74,8762
ordering,5,8,117,6714
ordering,5,9,54,6350
ordering,5,10,10,6231
ordering,5,11,68,6114
ordering,5,12,127,5988
ordering,5,13,105,5578
ordering,5,14,53,5571
ordering,5,15,14,5475
ordering,5,16,17,5138
ordering,5,17,73,5128
ordering,5,18,33,4867
ordering,5,19,111,4670
ordering,5,20,48,4569
ordering,6,1,71,22104
ordering,6,2,74,20477
ordering,6,3,8,16229
ordering,6,4,53,11407
ordering,6,5,40,10839
ordering,6,6,27,10235
ordering,6,7,34,9616
ordering,6,8,104,9258
ordering,6,9,19,8592
ordering,6,10,109,8307
ordering,6,11,16,7627
ordering,6,12,1,6882
ordering,6,13,111,6820
ordering,6,14,86,6420
ordering,6,15,13,6287
ordering,6,16,116,5997
ordering,6,17,118,5747
ordering,6,18,62,5705
ordering,6,19,79,5615
ordering,6,20,44,4972
ordering,7,1,109,24298
ordering,7,2,30,24121
ordering,7,3,18,20164
ordering,7,4,103,15300
ordering,7,5,28,9946
ordering,7,6,106,8969
ordering,7,7,92,8586
ordering,7,8,97,8064
ordering,7,9,83,8037
ordering,7,10,34,7330
ordering,7,11,41,7301
ordering,7,12,73,6723
ordering,7,13,17,5582
ordering,7,14,114,5046
ordering,7,15,75,4939
ordering,7,16,64,4860
ordering,7,17,82,4833
ordering,7,18,123,4704
ordering,7,19,59,4498
ordering,7,20,107,4486
ordering,8,1,46,24010
ordering,8,2,72,14609
ordering,8,3,88,13819
ordering,8,4,3,12813
ordering,8,5,21,11777
ordering,8,6,107,8150
ordering,8,7,49,7632
ordering,8,8,81,7513
ordering,8,9,67,7401
ordering,8,10,15,7362
ordering,8,11,111,7041
ordering,8,12,20,6488
ordering,8,13,38,6472
ordering,8,14,35,6433
ordering,8,15,116,6137
ordering,8,16,28,5439
ordering,8,17,80,5329
ordering,8,18,99,4815
ordering,8,19,125,4645
ordering,8,20,41,4639
ordering,9,1,27,22447
ordering,9,2,114,22155
ordering,9,3,49,21768
ordering,9,4,10,20351
ordering,9,5,30,13393
ordering,9,6,57,10349
ordering,9,7,87,9954
ordering,9,8,69,8715
ordering,9,9,104,8055
ordering,9,10,32,7790
ordering,9,11,77,7124
ordering,9,12,122,5901
ordering,9,13,62,5407
ordering,9,14,28,5259
ordering,9,15,5,5183
ordering,9,16,48,5099
ordering,9,17,41,4970
ordering,9,18,64,4860
ordering,9,19,45,4679
ordering,9,20,86,4530
ordering,10,1,100,10956
ordering,10,2,65,10745
ordering,10,3,45,10551
ordering,10,4,101,10543
ordering,10,5,53,10445
ordering,10,6,47,10027
ordering,10,7,26,9062
ordering,10,8,86,8512
ordering,10,9,56,7998
ordering,10,10,110,7409
ordering,10,11,116,7396
ordering,10,12,14,7031
ordering,10,13,109,6995
ordering,10,14,93,6293
ordering,10,15,74,5956
ordering,10,16,127,5940
ordering,10,17,111,5757
ordering,10,18,30,5310
ordering,10,19,90,5184
ordering,10,20,95,4859
ordering,11,1,39,17035
ordering,11,2,64,16361
ordering,11,3,118,8936
ordering,11,4,10,8107
ordering,11,5,41,7935
ordering,11,6,96,7520
ordering,11,7,42,7160
ordering,11,8,28,6247
ordering,11,9,126,5857
ordering,11,10,1,5744
ordering,11,11,35,5612
ordering,11,12,47,5527
ordering,11,13,67,5389
ordering,11,14,116,5375
ordering,11,15,30,5263
ordering,11,16,71,4929
ordering,11,17,21,4911
ordering,11,18,26,4723
ordering,11,19,16,4565
ordering,11,20,79,4238
ordering,12,1,85,18732
ordering,12,2,119,18188
ordering,12,3,60,11243
ordering,12,4,95,10335
ordering,12,5,56,9532
ordering,12,6,62,8987
ordering,12,7,76,8167
ordering,12,8,0,7320
ordering,12,9,9,7061
ordering,12,10,64,6955
ordering,12,11,116,6916
ordering,12,12,120,6808
ordering,12,13,68,6427
ordering,12,14,113,6216
ordering,12,15,103,6147
ordering,12,16,100,6078
ordering,12,17,38,5280
